LN_part1_00001|Benoît Hamon, monsieur le ministre, ce texte, c’est votre projet.|Benoît Hamon, monsieur le ministre, ce texte, c’est votre projet.
LN_part1_00002|Cette lutte se situe à deux niveaux.|Cette lutte se situe à deux niveaux.
LN_part1_00003|Venons-en maintenant au fond.|Venons-en maintenant au fond.
LN_part1_00004|Peu à peu, ils mobilisent des moyens.|Peu à peu, ils mobilisent des moyens.
LN_part1_00005|S’il y a unanimité pour augmenter le volume, nous le ferons.|S’il y a unanimité pour augmenter le volume, nous le ferons.
LN_part1_00006|En France, c’est le statu quo qui serait inacceptable.|En France, c’est le statu quo qui serait inacceptable.
LN_part1_00007|Une baisse est une baisse et une hausse, même modérée, est une hausse.|Une baisse est une baisse et une hausse, même modérée, est une hausse.
LN_part1_00008|Cela inclut notamment les communes de résidence de l’un ou l’autre des époux.|Cela inclut notamment les communes de résidence de l’un ou l’autre des époux.
LN_part1_00009|Le chômage a atteint un niveau record.|Le chômage a atteint un niveau record.
LN_part1_000010|Ce serait un peu choquant.|Ce serait un peu choquant.
LN_part1_000011|C’est totalement impossible, totalement irréaliste.|C’est totalement impossible, totalement irréaliste.
LN_part1_000012|Nous devons l’entretenir comme un feu naissant et l’accompagner.|Nous devons l’entretenir comme un feu naissant et l’accompagner.
LN_part1_000013|Depuis des mois, l’élevage français périclite.|Depuis des mois, l’élevage français périclite.
LN_part1_000014|Ces choix ont un objectif, une priorité : assurer les conditions de notre indépendance.|Ces choix ont un objectif, une priorité : assurer les conditions de notre indépendance.
LN_part1_000015|Le match est-il équitable ?|Le match est-il équitable ?
LN_part1_000016|C’était la dimension régionale.|C’était la dimension régionale.
LN_part1_000017|Cela nous demande beaucoup d’énergie…|Cela nous demande beaucoup d’énergie…
LN_part1_000018|Nous allons maintenant examiner les articles six à huit précédemment réservés.|Nous allons maintenant examiner les articles six à huit précédemment réservés.
LN_part1_000019|Mais de là à monter cette histoire en épingle…|Mais de là à monter cette histoire en épingle…
LN_part1_000020|Je me permets de souligner ce premier effet utile.|Je me permets de souligner ce premier effet utile.
LN_part1_000021|Le rapporteur général m’a répondu que oui, en l’absence de disposition contraire.|Le rapporteur général m’a répondu que oui, en l’absence de disposition contraire.
LN_part1_000022|Nous y travaillons d’arrache-pied.|Nous y travaillons d’arrache-pied.
LN_part1_000023|Nous savons qu’un certain nombre de freins existent.|Nous savons qu’un certain nombre de freins existent.
LN_part1_000024|Ce fichier facilitera principalement la recherche des réseaux de filière.|Ce fichier facilitera principalement la recherche des réseaux de filière.
LN_part1_000025|Les Alsaciens ont de la suite dans les idées.|Les Alsaciens ont de la suite dans les idées.
LN_part1_000026|C’est un peu nébuleux !|C’est un peu nébuleux !
LN_part1_000027|Comme tout mis en examen, il doit bénéficier d’une présomption d’innocence.|Comme tout mis en examen, il doit bénéficier d’une présomption d’innocence.
LN_part1_000028|Lourde erreur, madame la ministre !|Lourde erreur, madame la ministre !
LN_part1_000029|Vous y expliquez en effet que des contentieux ont eu lieu.|Vous y expliquez en effet que des contentieux ont eu lieu.
LN_part1_000030|Chers collègues, le Lyon-Turin est une chance pour la protection des Alpes…|Chers collègues, le Lyon-Turin est une chance pour la protection des Alpes…
LN_part1_000031|J’ai vu que notre collègue Tourret avait demandé la parole.|J’ai vu que notre collègue Tourret avait demandé la parole.
LN_part1_000032|Nul ne peut l’affirmer.|Nul ne peut l’affirmer.
LN_part1_000033|J’en viens maintenant au fond.|J’en viens maintenant au fond.
LN_part1_000034|Certains ont pu suggérer la rédaction d’un Livre blanc européen.|Certains ont pu suggérer la rédaction d’un Livre blanc européen.
LN_part1_000035|Cette mission d’évaluation ne concerne pas le site d’Hazebrouck.|Cette mission d’évaluation ne concerne pas le site d’Hazebrouck.
LN_part1_000036|Où avez-vous rêvé cela ?|Où avez-vous rêvé cela ?
LN_part1_000037|J’ai entendu aussi beaucoup de nostalgie.|J’ai entendu aussi beaucoup de nostalgie.
LN_part1_000038|Ils travaillent, ils rêvent, ils souffrent, ils aiment, tout comme leurs compatriotes.|Ils travaillent, ils rêvent, ils souffrent, ils aiment, tout comme leurs compatriotes.
LN_part1_000039|Cachez votre joie, monsieur le ministre !|Cachez votre joie, monsieur le ministre !
LN_part1_000040|Il faut lancer des politiques ambitieuses de construction de logements sociaux.|Il faut lancer des politiques ambitieuses de construction de logements sociaux.
LN_part1_000041|L’ensemble des grandes associations ont besoin du soutien de tous.|L’ensemble des grandes associations ont besoin du soutien de tous.
LN_part1_000042|Ce gouvernement a décidé de faire de Marseille une priorité.|Ce gouvernement a décidé de faire de Marseille une priorité.
LN_part1_000043|Les arbitrages sont d’autant plus importants.|Les arbitrages sont d’autant plus importants.
LN_part1_000044|Nous serons avec vous, Christiane.|Nous serons avec vous, Christiane.
LN_part1_000045|Je suis député de la Haute-Garonne.|Je suis député de la Haute-Garonne.
